zipcode,year,month,crime_rate
02129,2016,1,0.0061
02129,2016,2,0.0052
02129,2016,3,0.0057
02129,2016,4,0.0056
02129,2016,5,0.0078
02129,2016,6,0.0072
02129,2016,7,0.0067
02129,2016,8,0.0075
02129,2016,9,0.0073
02129,2016,10,0.0056
02129,2016,11,0.0066
02129,2016,12,0.0057
02129,2017,1,0.0063
02129,2017,2,0.0053
02129,2017,3,0.0075
02129,2017,4,0.0068
02129,2017,5,0.0073
02129,2017,6,0.0094
02129,2017,7,0.0083
02129,2017,8,0.0075
02129,2017,9,0.0074
02129,2017,10,0.0073
02129,2017,11,0.0074
02129,2017,12,0.0062
02129,2018,1,0.0069
02129,2018,2,0.0066
02129,2018,3,0.0063
02129,2018,4,0.0057
02129,2018,5,0.0079
02129,2018,6,0.0069
02129,2018,7,0.006
02129,2018,8,0.0067
02129,2018,9,0.0064
02129,2018,10,0.0004
02130,2015,6,0.0046
02130,2015,7,0.0096
02130,2015,8,0.0102
02130,2015,9,0.0106
02130,2015,10,0.0109
02130,2015,11,0.0105
02130,2015,12,0.0108
02130,2016,1,0.0096
02130,2016,2,0.01
02130,2016,3,0.0104
02130,2016,4,0.0108
02130,2016,5,0.0113
02130,2016,6,0.0124
02130,2016,7,0.0108
02130,2016,8,0.0124
02130,2016,9,0.0108
02130,2016,10,0.0109
02130,2016,11,0.0104
02130,2016,12,0.0103
02130,2017,1,0.0098
02130,2017,2,0.0095
02130,2017,3,0.0098
02130,2017,4,0.0099
02130,2017,5,0.0112
02130,2017,6,0.0112
02130,2017,7,0.0115
02130,2017,8,0.0112
02130,2017,9,0.0118
02130,2017,10,0.0103
02130,2017,11,0.0101
02130,2017,12,0.0093
02130,2018,1,0.0104
02130,2018,2,0.0083
02130,2018,3,0.0097
02130,2018,4,0.0101
02130,2018,5,0.0119
02130,2018,6,0.0112
02130,2018,7,0.0118
02130,2018,8,0.0101
02130,2018,9,0.0098
02130,2018,10,0.0008
02131,2015,6,0.0042
02131,2015,7,0.0072
02131,2015,8,0.0069
02131,2015,9,0.0071
02131,2015,10,0.0071
02131,2015,11,0.0069
